"county","fips","candidate","state","votes","total","pct","Women","White","Citizen","IncomePerCap","Poverty","ChildPoverty","Professional","Service","Office","Production","Drive","Carpool","Transit","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","SelfEmployed","FamilyWork","Unemployment","Minority"
"los alamos",35028,"Hillary Clinton","new mexico",5562,10885,0.510978410656867,48.8321534087742,73.9381069178884,72.2169574669714,51148.4420536262,6.11627738446959,8.67604102792798,68.2637939684486,10.1355649701767,15.0414181392497,4.13776130219076,76.8363565416132,8.25765650259212,3.88409610346173,3.94924466246725,4.6302302246502,15.8290707397291,49.7017670996154,62.0307876693238,6.66127431852389,0.199459278666592,3.4463849712916,24.4628463125035
"los alamos",35028,"Donald Trump","new mexico",3359,10885,0.308589802480478,48.8321534087742,73.9381069178884,72.2169574669714,51148.4420536262,6.11627738446959,8.67604102792798,68.2637939684486,10.1355649701767,15.0414181392497,4.13776130219076,76.8363565416132,8.25765650259212,3.88409610346173,3.94924466246725,4.6302302246502,15.8290707397291,49.7017670996154,62.0307876693238,6.66127431852389,0.199459278666592,3.4463849712916,24.4628463125035
"luna",35029,"Donald Trump","new mexico",3478,7295,0.47676490747087,50.1674129654282,33.0243253055791,61.1480898785752,15078.1212231232,29.7314171608375,39.4278914034451,23.8897293154222,24.5724998991488,22.4249586510146,11.385824357578,76.8869659929808,14.7463552382105,1.38095929646214,0.664310783008592,5.00760014522571,19.3264431804429,33.8174190164993,73.6018475936907,6.51593852111824,0,13.5330348138287,66.5417644923151
"luna",35029,"Hillary Clinton","new mexico",3195,7295,0.437971213159698,50.1674129654282,33.0243253055791,61.1480898785752,15078.1212231232,29.7314171608375,39.4278914034451,23.8897293154222,24.5724998991488,22.4249586510146,11.385824357578,76.8869659929808,14.7463552382105,1.38095929646214,0.664310783008592,5.00760014522571,19.3264431804429,33.8174190164993,73.6018475936907,6.51593852111824,0,13.5330348138287,66.5417644923151
"mckinley",35031,"Hillary Clinton","new mexico",13576,21703,0.625535640234069,51.7811292197086,9.89847968864023,68.1761669234304,12614.5808940782,37.4150004054164,44.2709681342739,27.2787021270845,26.7808373199276,21.7923281710316,14.0129571069488,73.7160517851834,10.8521595178248,0.365140949755399,1.66075164193627,9.79402551420309,23.2983026568286,30.8994837698316,58.4314684180654,6.8717411281386,0.140245682315738,15.8226276385848,87.9288426714236
"mckinley",35031,"Donald Trump","new mexico",5104,21703,0.235174860618348,51.7811292197086,9.89847968864023,68.1761669234304,12614.5808940782,37.4150004054164,44.2709681342739,27.2787021270845,26.7808373199276,21.7923281710316,14.0129571069488,73.7160517851834,10.8521595178248,0.365140949755399,1.66075164193627,9.79402551420309,23.2983026568286,30.8994837698316,58.4314684180654,6.8717411281386,0.140245682315738,15.8226276385848,87.9288426714236
"mora",35033,"Hillary Clinton","new mexico",1536,2441,0.629250307251127,52.2317596566524,17.5,77.0600858369099,15591,23.4,22,31.1,30.4,16.5,7,79.7,11.3,0,0,8.1,27.2,25.0214592274678,50.7,5.2,0.2,5.4,82.5
"mora",35033,"Donald Trump","new mexico",665,2441,0.272429332240885,52.2317596566524,17.5,77.0600858369099,15591,23.4,22,31.1,30.4,16.5,7,79.7,11.3,0,0,8.1,27.2,25.0214592274678,50.7,5.2,0.2,5.4,82.5
"otero",35035,"Donald Trump","new mexico",11887,20060,0.592572283150548,48.8977004807251,51.1300131663554,67.5847392755443,19457.2482470376,23.5470972779326,33.1036835175602,24.42869806179,25.8386065096911,25.45871582106,8.22119783214428,76.3669692887106,17.0036299335558,0.715579166539086,0.994993723016626,2.61673045714811,20.1080146360881,33.8222235830858,61.8603968278269,5.08090419180012,0.410455004746012,12.9077803974402,46.9917036651459
"otero",35035,"Hillary Clinton","new mexico",6124,20060,0.305284147557328,48.8977004807251,51.1300131663554,67.5847392755443,19457.2482470376,23.5470972779326,33.1036835175602,24.42869806179,25.8386065096911,25.45871582106,8.22119783214428,76.3669692887106,17.0036299335558,0.715579166539086,0.994993723016626,2.61673045714811,20.1080146360881,33.8222235830858,61.8603968278269,5.08090419180012,0.410455004746012,12.9077803974402,46.9917036651459
